minute,hour,day,month,temp,humidity,wind,pressure,precip,pm2.5,co,no2,o3,so2
4,0,1,1,28.4,73,2.3,30.45,0.0,-999,-999,-999,-999,-999
0,0,1,1,-999,-999,-999,-999,-999,4,.18,5.4,28,.1
4,1,1,1,27.0,75,0.4,30.45,0.0,-999,-999,-999,-999,-999
0,1,1,1,-999,-999,-999,-999,-999,5,.19,8.9,23,.1
4,2,1,1,26.3,79,1.3,30.47,0.0,-999,-999,-999,-999,-999
0,2,1,1,-999,-999,-999,-999,-999,6,.22,12.1,21,.1
4,3,1,1,26.6,82,0.0,30.47,0.0,-999,-999,-999,-999,-999
0,3,1,1,-999,-999,-999,-999,-999,6,.21,16.2,18,.1
4,4,1,1,27.4,76,2.2,30.46,0.0,13,-999,-999,-999,-999,-999
0,4,1,1,-999,-999,-999,-999,-999,.24,19.5,14,.1
4,5,1,1,27.6,76,2.1,30.47,0.0,-999,-999,-999,-999,-999
0,5,1,1,-999,-999,-999,-999,-999,8,.32,23.8,6,.1
4,6,1,1,28.1,74,0.0,30.5,0.0,-999,-999,-999,-999,-999
0,6,1,1,-999,-999,-999,-999,-999,10,.34,22,6,.1
4,7,1,1,26.6,84,0.0,30.49,0.0,-999,-999,-999,-999,-999
0,7,1,1,-999,-999,-999,-999,-999,11,.34,22.8,5,.1
4,8,1,1,26.8,84,0.1,30.49,0.0,-999,-999,-999,-999,-999
0,8,1,1,-999,-999,-999,-999,-999,11,.33,24.3,4,.1
4,9,1,1,26.8,85,2.1,30.5,0.0,-999,-999,-999,-999,-999
0,9,1,1,-999,-999,-999,-999,-999,11,.28,21.3,7,.1
4,10,1,1,27.3,85,2.6,30.49,0.0,-999,-999,-999,-999,-999
0,10,1,1,-999,-999,-999,-999,-999,11,.28,16.9,10,.1
4,11,1,1,28.8,83,1.3,30.47,0.0,12,-999,-999,-999,-999,-999
0,11,1,1,-999,-999,-999,-999,-999,.22,11.1,16,.1
4,12,1,1,29.3,82,0.9,30.44,0.0,16,-999,-999,-999,-999,-999
0,12,1,1,-999,-999,-999,-999,-999,.21,9.3,18,.1
4,13,1,1,29.9,80,1.7,30.42,0.0,18,-999,-999,-999,-999,-999
0,13,1,1,-999,-999,-999,-999,-999,.2,7.2,20,.1
4,14,1,1,30.1,80,1.9,30.39,0.0,17,-999,-999,-999,-999,-999
0,14,1,1,-999,-999,-999,-999,-999,.2,6.7,21,.1
4,15,1,1,30.5,79,2.9,30.35,0.0,19,-999,-999,-999,-999,-999
0,15,1,1,-999,-999,-999,-999,-999,.21,9.3,20,.1
4,16,1,1,30.9,79,2.3,30.32,0.0,10,-999,-999,-999,-999,-999
0,16,1,1,-999,-999,-999,-999,-999,.21,7.8,20,.1
4,17,1,1,30.3,79,3.5,30.3,0.0,-999,-999,-999,-999,-999
0,17,1,1,-999,-999,-999,-999,-999,9,.22,9.3,20,.1
4,18,1,1,29.6,80,3.0,30.29,0.0,-999,-999,-999,-999,-999
0,18,1,1,-999,-999,-999,-999,-999,9,.2,8,22,.1
4,19,1,1,29.1,80,4.1,30.24,0.0,-999,-999,-999,-999,-999
0,19,1,1,-999,-999,-999,-999,-999,8,.2,7.7,23,.1
