date,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2021-01-01,5.4,8.9,12.1,16.2,19.5,23.8,22,22.8,24.3,21.3,16.9,11.1,9.3,7.2,6.7,9.3,7.8,9.3,8,7.7,4.9,4.5,3.8,3.3
2021-01-02,2.7,3.8,4.5,6.4,3.5,3.6,6.1,6.4,4.3,5.9,3.9,2.8,2.7,3.3,3.5,5.1,8.6,12.6,9.8,7,8.1,10.7,10.4,22.4
2021-01-03,32.6,22.6,31.3,32.3,27.8,17.1,12,10.9,12.8,9,5.2,6.2,5.2,5.4,4.6,5.7,7.2,10.5,8.5,10.5,9.9,9,8,7.6
2021-01-04,8.4,6,6.3,6.7,6.6,6.2,8.4,9.8,10.3,8,6.9,7.5,9,10.7,10.2,10.6,12.4,12.9,8.4,10,12.3,13.5,9.9,7.3
2021-01-05,9.3,6.5,8.7,11.9,12.6,9.4,9.6,10.4,9.6,7.9,6,5.4,5.3,6.3,6.2,5.8,10.3,13.9,12.1,13.5,14.6,17,12.1,11.3
2021-01-06,10.5,14,12.9,9.8,7.9,3.8,4.6,4.5,4.5,4,4.8,2.8,2.1,2.2,2,2.7,4.2,6.3,4.3,4.1,4.3,4.4,2.8,2.5
2021-01-07,2.2,2.2,1.8,2.3,1.9,2.9,2.8,4.2,2.9,3.1,3,3.2,2.4,2,2.4,2.9,3.3,3,2.3,2.7,2.5,2.9,2.4,2.2
2021-01-08,2.4,2,1.9,2.4,2.7,3.9,4.3,4.9,6.3,3.5,2.9,3,2.6,2.5,2.1,3,4.1,7.1,8.3,5.7,5.2,4.5,2.3,2.3
2021-01-09,2.3,2.1,1.9,2.1,2.7,2.5,2.5,5,3.2,2.9,2.7,2.5,3.1,2.1,2,3.2,4.6,4.2,3.7,4.2,4.5,5.1,5.7,3.2
2021-01-10,2.5,2.9,3.5,4.3,4,5.6,7.5,6.6,7.1,4.5,2.7,2.8,3.8,4.2,5.5,7,9.2,10.8,15.9,16.7,17.5,24.4,27.1,25.3
2021-01-11,21.6,16.1,11.5,11.4,12.9,14.3,20.6,24.4,24.1,20.1,13.4,14.7,13.9,12.1,12.2,11.8,13.6,14.2,14.1,12.5,12.9,14,12.4,8.5
2021-01-12,8.3,7.3,6.6,8.2,8.8,8.2,8.6,9.6,13.5,12.6,14.1,8.4,7,7.9,7.9,11.3,15.5,15.1,12.3,13.5,10.3,11.8,10.5,9.4
2021-01-13,9.2,9.5,10.1,11.9,13.4,13,14.8,16.2,17.7,15.9,16.7,15.2,13.4,14.8,15.5,14.1,16.3,13.1,11.1,10.8,11.8,11.6,16.1,15.3
