hour,day,month,o3
1,1,1,28
2,1,1,23
3,1,1,21
4,1,1,18
5,1,1,14
6,1,1,6
7,1,1,6
8,1,1,5
9,1,1,4
10,1,1,7
11,1,1,10
12,1,1,16
13,1,1,18
14,1,1,20
15,1,1,21
16,1,1,20
17,1,1,20
18,1,1,20
19,1,1,22
20,1,1,23
21,1,1,26
22,1,1,27
23,1,1,28
24,1,1,30
1,2,1,30
2,2,1,28
3,2,1,27
4,2,1,25
5,2,1,28
6,2,1,28
7,2,1,25
8,2,1,25
9,2,1,26
10,2,1,24
11,2,1,26
12,2,1,28
13,2,1,30
14,2,1,29
15,2,1,29
16,2,1,27
17,2,1,23
18,2,1,19
19,2,1,22
20,2,1,25
21,2,1,26
22,2,1,24
23,2,1,24
24,2,1,13
1,3,1,4
2,3,1,10
3,3,1,3
4,3,1,1
5,3,1,3
6,3,1,12
7,3,1,18
8,3,1,19
9,3,1,16
10,3,1,23
11,3,1,27
12,3,1,26
13,3,1,26
14,3,1,27
15,3,1,28
16,3,1,28
17,3,1,26
18,3,1,23
19,3,1,25
20,3,1,22
21,3,1,22
22,3,1,23
23,3,1,23
24,3,1,23
1,4,1,23
2,4,1,25
3,4,1,24
4,4,1,21
5,4,1,20
6,4,1,21
7,4,1,18
8,4,1,17
9,4,1,17
10,4,1,19
11,4,1,21
12,4,1,22
13,4,1,21
14,4,1,20
15,4,1,21
16,4,1,20
17,4,1,18
18,4,1,18
19,4,1,22
20,4,1,20
21,4,1,17
22,4,1,15
23,4,1,18
24,4,1,20
1,5,1,18
2,5,1,21
3,5,1,18
4,5,1,14
5,5,1,14
6,5,1,19
7,5,1,19
8,5,1,18
9,5,1,19
10,5,1,21
11,5,1,23
12,5,1,25
13,5,1,25
14,5,1,24
15,5,1,23
16,5,1,23
17,5,1,18
18,5,1,15
19,5,1,16
20,5,1,15
21,5,1,12
22,5,1,11
23,5,1,16
24,5,1,17
1,6,1,17
2,6,1,13
3,6,1,14
4,6,1,16
5,6,1,20
6,6,1,27
7,6,1,26
8,6,1,27
9,6,1,26
10,6,1,25
11,6,1,25
12,6,1,26
13,6,1,27
14,6,1,28
15,6,1,28
16,6,1,28
