hour,day,month,temp,humidity,wind,pressure,precip
0,1,1,27,74,5,30.02,0.0
1,1,1,25,80,3,30.01,0.0
2,1,1,25,80,3,30.04,0.0
3,1,1,25,86,2,30.05,0.0
4,1,1,25,86,3,30.04,0.0
5,1,1,27,74,5,30.04,0.0
6,1,1,27,80,3,30.06,0.0
7,1,1,25,86,3,30.07,0.0
8,1,1,27,80,5,30.06,0.0
9,1,1,27,86,3,30.07,0.0
10,1,1,28,80,3,30.06,0.0
11,1,1,30,75,5,30.04,0.0
12,1,1,30,69,3,30.01,0.0
13,1,1,32,69,3,29.99,0.0
14,1,1,32,69,5,29.97,0.0
15,1,1,32,69,8,29.93,0.0
16,1,1,30,75,7,29.89,0.0
17,1,1,30,75,7,29.87,0.0
18,1,1,30,75,6,29.86,0.0
19,1,1,28,80,9,29.81,0.0
20,1,1,28,74,10,29.75,0.0
21,1,1,28,74,12,29.72,0.0
22,1,1,28,74,17,29.69,0.0
23,1,1,27,86,14,29.67,0.0
0,10,1,16,86,7,29.75,0.0
0,11,1,19,93,10,29.84,0.0
0,9,1,16,68,7,29.67,0.0
1,10,1,18,86,8,29.76,0.0
2,10,1,14,93,7,29.78,0.0
3,10,1,14,93,6,29.8,0.0
4,10,1,16,93,7,29.81,0.0
5,10,1,12,92,5,29.81,0.0
6,10,1,14,93,5,29.83,0.0
7,10,1,14,93,5,29.84,0.0
8,10,1,14,93,3,29.85,0.0
9,10,1,14,86,5,29.87,0.0
10,10,1,16,93,5,29.89,0.0
11,10,1,16,93,6,29.89,0.0
12,10,1,16,93,6,29.87,0.0
13,10,1,16,93,7,29.85,0.0
14,10,1,18,86,7,29.85,0.0
15,10,1,19,80,5,29.85,0.0
16,10,1,19,80,5,29.86,0.0
17,10,1,19,86,3,29.87,0.0
18,10,1,18,86,5,29.86,0.0
19,10,1,18,86,2,29.87,0.0
20,10,1,14,93,3,29.87,0.0
21,10,1,16,86,3,29.87,0.0
22,10,1,16,93,2,29.86,0.0
23,10,1,18,93,5,29.85,0.0
1,11,1,21,86,0,29.84,0.0
2,11,1,21,93,3,29.84,0.0
3,11,1,21,93,3,29.84,0.0
4,11,1,21,93,5,29.83,0.0
5,11,1,21,93,5,29.82,0.0
6,11,1,21,93,3,29.83,0.0
7,11,1,23,86,6,29.82,0.0
8,11,1,23,86,3,29.81,0.0
9,11,1,23,93,6,29.8,0.0
10,11,1,25,86,5,29.8,0.0
11,11,1,28,86,0,29.78,0.0
12,11,1,34,70,10,29.74,0.0
13,11,1,34,70,9,29.71,0.0
14,11,1,34,70,10,29.7,0.0
15,11,1,32,87,9,29.69,0.0
16,11,1,32,93,7,29.69,0.0
17,11,1,32,93,5,29.67,0.0
18,11,1,32,93,7,29.67,0.0
19,11,1,32,93,8,29.66,0.0
20,11,1,32,93,8,29.64,0.0
21,11,1,32,93,7,29.64,0.0
22,11,1,32,93,7,29.63,0.0
23,11,1,32,80,17,29.63,0.0
1,9,1,18,63,10,29.65,0.0
2,9,1,18,63,12,29.65,0.0
3,9,1,18,63,12,29.66,0.0
4,9,1,18,63,17,29.65,0.0
5,9,1,18,63,14,29.65,0.0
6,9,1,19,63,15,29.66,0.0
7,9,1,19,63,15,29.68,0.0
8,9,1,19,63,16,29.69,0.0
9,9,1,18,68,12,29.71,0.0
10,9,1,19,63,12,29.71,0.0
11,9,1,19,63,8,29.69,0.0
