hour,day,month,temp,humidity,wind,pressure,precip
0,1,1,27.0,74.0,5,30.02,0.0
1,1,1,25.0,80.0,3,30.01,0.0
2,1,1,25.0,80.0,3,30.04,0.0
3,1,1,25.0,86.0,2,30.05,0.0
4,1,1,25.0,86.0,3,30.04,0.0
5,1,1,27.0,74.0,5,30.04,0.0
6,1,1,27.0,80.0,3,30.06,0.0
7,1,1,25.0,86.0,3,30.07,0.0
8,1,1,27.0,80.0,5,30.06,0.0
9,1,1,27.0,86.0,3,30.07,0.0
10,1,1,28.0,80.0,3,30.06,0.0
11,1,1,30.0,75.0,5,30.04,0.0
12,1,1,30.0,69.0,3,30.01,0.0
13,1,1,32.0,69.0,3,29.99,0.0
14,1,1,32.0,69.0,5,29.97,0.0
15,1,1,32.0,69.0,8,29.93,0.0
16,1,1,30.0,75.0,7,29.89,0.0
17,1,1,30.0,75.0,7,29.87,0.0
18,1,1,30.0,75.0,6,29.86,0.0
19,1,1,28.0,80.0,9,29.81,0.0
20,1,1,28.0,74.0,10,29.75,0.0
21,1,1,28.0,74.0,12,29.72,0.0
22,1,1,28.0,74.0,17,29.69,0.0
23,1,1,27.0,86.0,14,29.67,0.0
0,2,1,25.0,93.0,14,29.61,0.0
1,2,1,25.0,93.0,15,29.55,0.0
2,2,1,25.0,93.0,15,29.49,0.0
3,2,1,25.0,93.0,14,29.45,0.0
4,2,1,23.0,93.0,15,29.4,0.0
5,2,1,23.0,93.0,16,29.35,0.0
6,2,1,25.0,93.0,16,29.36,0.0
7,2,1,25.0,93.0,12,29.37,0.0
8,2,1,25.0,93.0,13,29.4,0.0
9,2,1,27.0,80.0,13,29.44,0.0
10,2,1,27.0,80.0,8,29.47,0.0
11,2,1,28.0,80.0,9,29.49,0.0
12,2,1,28.0,74.0,6,29.5,0.0
13,2,1,30.0,69.0,10,29.52,0.0
14,2,1,30.0,75.0,12,29.56,0.0
15,2,1,30.0,75.0,13,29.6,0.0
16,2,1,30.0,75.0,8,29.63,0.0
17,2,1,28.0,80.0,7,29.65,0.0
18,2,1,28.0,80.0,6,29.68,0.0
19,2,1,27.0,80.0,6,29.7,0.0
20,2,1,28.0,74.0,7,29.71,0.0
21,2,1,28.0,74.0,5,29.72,0.0
22,2,1,27.0,86.0,2,29.73,0.0
